Grade,Course Name,Period,Teacher,Location,Term
10,ENGLISH 10,2,J. Augspurger,120,ALYR
10,TRIGONOMETRY,3,J. Warner,121,SEM1
10,STATISTICS CC+,3,J. Warner,121,SEM2
10,MODERN US HISTORY,4,M. Shipley,125,ALYR
10,STUDY HALL,5,J. Reynolds,LIB,ALYR
10,BIOLOGY,6,J. Miller,131,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
10,ART I,8,L. Delciappo,ART,SEM1
10,FINANCIAL LITERACY,8,D. Fennell,132,SEM2
10,STEM 1,9,B. Welch,129,SEM1
10,STEM II,9,B. Welch,129,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,STUDY HALL,10,J. Reynolds,LIB,ALYR
10,ENGLISH 10,2,J. Augspurger,120,ALYR
10,GEOMETRY,3,I. Haver,127,ALYR
10,CAREER EXPL I,4,M. Doty,136,SEM1
10,CAREER EXPL II,4,M. Doty,136,SEM2
10,EARLY AMERICA,5,M. Shipley,125,SEM1
10,STUDY HALL,5,J. Reynolds,LIB,SEM2
10,BIOLOGY,6,J. Miller,131,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
10,MODERN US HISTORY,8,M. Shipley,125,ALYR
10,STUDY HALL,9,J. Reynolds,LIB,SEM1
10,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM1
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,PHYSICAL SCIENCE,10,R. Yobi,133,ALYR
9,STUDY HALL,2,J. Reynolds,LIB,ALYR
9,WORLD STUDIES,3,R. Sparks,124,ALYR
9,SPANISH I,4,F. Vaughan,134,ALYR
9,ALGEBRA II,5,D. Fennell,132,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,GEOMETRY,7,I. Haver,127,ALYR
9,ART I,8,L. Delciappo,ART,SEM1
9,FINANCIAL LITERACY,8,D. Fennell,132,SEM2
9,ENGLISH 9,9,S. Emert,122,ALYR
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,BAND,10,R. Kaserman,MUS,ALYR
10,BIOLOGY,2,J. Miller,131,ALYR
10,MODERN US HISTORY,3,M. Shipley,125,ALYR
10,GEOMETRY,4,I. Haver,127,ALYR
10,SPANISH II,5,L. Shaffer,123,ALYR
10,ALGEBRA II,6,D. Fennell,132,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
10,ENGLISH 10,8,J. Augspurger,120,ALYR
10,ART III,9,L. Delciappo,ART,SEM1
10,ART IV,9,L. Delciappo,ART,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,BAND,10,R. Kaserman,MUS,ALYR
10,LIFE SKILLS ENGLISH II,2,B. Reed,130,ALYR
10,LIFE SKILLS MATH II,3,B. Reed,130,ALYR
10,CAREER EXPL I,4,M. Doty,136,SEM1
10,CAREER EXPL II,4,M. Doty,136,SEM2
10,LIFE SKILLS SCIENCE II,5,B. Reed,130,ALYR
10,LUNCH,6,Z. McFarren,CAFE,ALYR
10,LIFE SKILLS SOCIAL STUDIES II,7,B. Reed,130,ALYR
10,LS FINANCIAL LITERACY,8,B. Reed,130,SEM2
10,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM1
10,PHYSICAL EDUCATION,9,S. Huth,GYM,SEM2
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,ENGLISH 11,10,S. Emert,122,ALYR
11,AMERICAN GOVERNMENT,2,R. Sparks,124,ALYR
11,ENVIRONMENTAL SCIENCE,3,R. Yobi,133,ALYR
11,ALGEBRA II,3,D. Fennell,132,ALYR
11,WIN READING/WRITING,4,R. Harmon,126,SEM1
11,WIN READING/WRITING,4,R. Harmon,126,SEM2
11,BIOLOGY II,5,J. Miller,131,ALYR
11,ALGEBRA II,5,D. Fennell,132,ALYR
11,LUNCH,6,Z. McFarren,CAFE,ALYR
11,WIN MATH,7,E. Boyer,126,SEM1
11,WIN MATH,7,E. Boyer,126,SEM2
11,SPORTS OFFICIATING & GAME DAY,8,S. Huth,134,SEM1
11,FINANCIAL LITERACY,8,D. Fennell,132,SEM2
11,STUDY HALL,9,J. Reynolds,LIB,ALYR
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,WORLD STUDIES,10,R. Sparks,124,ALYR
9,PHYSICAL SCIENCE,2,R. Yobi,133,ALYR
9,ENGLISH 9,3,S. Emert,122,ALYR
9,ART I,4,L. Delciappo,ART,SEM1
9,STUDY HALL,4,J. Reynolds,LIB,SEM2
9,ALGEBRA I,5,I. Haver,127,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,STUDY HALL,7,J. Reynolds,LIB,SEM1
9,ART II,7,L. Delciappo,ART,SEM2
9,FINANCIAL LITERACY,8,D. Fennell,132,SEM1
9,COMPUTER APPLICATIONS,8,M. Doty,136,SEM2
9,STEM 1,9,B. Welch,129,SEM1
9,STEM II,9,B. Welch,129,SEM2
9,FLEX TIME,1,M. Doty,CAFE,ALYR
9,PHYSICAL SCIENCE,10,R. Yobi,133,ALYR
9,STUDY HALL,2,J. Reynolds,LIB,ALYR
9,ENGLISH 9,3,S. Emert,122,ALYR
9,WORLD STUDIES,4,R. Sparks,124,ALYR
9,ALGEBRA I,5,I. Haver,127,ALYR
9,LUNCH,6,Z. McFarren,CAFE,ALYR
9,STUDY HALL,7,J. Reynolds,LIB,SEM1
9,MATH PREP,7,J. Warner,121,SEM2
9,FINANCIAL LITERACY,8,D. Fennell,132,SEM1
9,COMPUTER APPLICATIONS,8,M. Doty,136,SEM2
9,HEALTH,9,S. Huth,134,SEM1
9,HISTORY OF MODERN MUSIC,9,R. Kaserman,121,SEM2
10,FLEX TIME,1,M. Doty,LIB,ALYR
10,PHYSICAL EDUCATION,10,S. Huth,GYM,SEM1
10,FINANCIAL LITERACY,10,D. Fennell,132,SEM2
10,EARLY AMERICAN WARS,2,M. Shipley,125,SEM1
10,MODERN AMERICAN WARS,2,M. Shipley,125,SEM2
10,GEOMETRY,3,I. Haver,127,ALYR
10,MODERN US HISTORY,4,M. Shipley,125,ALYR
10,STUDY HALL,5,J. Reynolds,LIB,ALYR
10,BIOLOGY,6,J. Miller,131,ALYR
10,LUNCH,7,Z. McFarren,CAFE,ALYR
10,CHOIR,8,H. Carr,AUD,ALYR
10,ENGLISH 10,9,J. Augspurger,120,ALYR
11,FLEX TIME,1,M. Doty,AUD,ALYR
11,ENGLISH 11,10,S. Emert,122,ALYR
11,AMERICAN GOVERNMENT,2,R. Sparks,124,ALYR
11,EFFECTIVE SPEAKING CC+,3,R. Evans-Delciappo,ART,SEM1
11,PSYCHOLOGY CC+,3,C. TEACHER,LIB,SEM2
11,SPANISH 3 A,4,L. Shaffer,123,SEM1
11,SPAN 3 B,4,L. Shaffer,123,SEM2
11,ALGEBRA II,5,D. Fennell,132,ALYR
11,H & H INDEP TO RECONSTRUCT,6,M. Shipley,125,SEM1
11,H & H INDUSTRIAL TO TODAY,6,M. Shipley,125,SEM2
11,LUNCH,7,Z. McFarren,CAFE,ALYR
